 ISO3, Country, Year, Statistics,Temperature - (Celsius),
 AFG, Afghanistan,1901, Jan,-0.0378,
 AFG, Afghanistan,1901, Feb,2.42348,
 AFG, Afghanistan,1901, Mar,9.3623,
 AFG, Afghanistan,1901, Apr,13.5564,
 AFG, Afghanistan,1901, May,18.1509,
 AFG, Afghanistan,1901, Jun,22.1727,
 AFG, Afghanistan,1901, Jul,25.3787,
 AFG, Afghanistan,1901, Aug,23.6652,
 AFG, Afghanistan,1901, Sep,19.4655,
 AFG, Afghanistan,1901, Oct,11.2837,
 AFG, Afghanistan,1901, Nov,8.6319,
 AFG, Afghanistan,1901, Dec,4.02148,
 AFG, Afghanistan,1902, Jan,2.43386,
 AFG, Afghanistan,1902, Feb,2.32874,
 AFG, Afghanistan,1902, Mar,7.61617,
 AFG, Afghanistan,1902, Apr,12.3997,
 AFG, Afghanistan,1902, May,19.4873,
 AFG, Afghanistan,1902, Jun,24.1452,
 AFG, Afghanistan,1902, Jul,25.0482,
 AFG, Afghanistan,1902, Aug,24.2475,
 AFG, Afghanistan,1902, Sep,19.0351,
 AFG, Afghanistan,1902, Oct,12.9641,
 AFG, Afghanistan,1902, Nov,7.19137,
 AFG, Afghanistan,1902, Dec,3.21455,
 AFG, Afghanistan,1903, Jan,-1.588,
 AFG, Afghanistan,1903, Feb,2.6049,
 AFG, Afghanistan,1903, Mar,2.19759,
 AFG, Afghanistan,1903, Apr,10.9805,
 AFG, Afghanistan,1903, May,17.0656,
 AFG, Afghanistan,1903, Jun,23.4819,
 AFG, Afghanistan,1903, Jul,24.7819,
 AFG, Afghanistan,1903, Aug,23.887,
 AFG, Afghanistan,1903, Sep,19.8621,
 AFG, Afghanistan,1903, Oct,14.1072,
 AFG, Afghanistan,1903, Nov,5.79271,
 AFG, Afghanistan,1903, Dec,0.90361,
 AFG, Afghanistan,1904, Jan,-5.5545,
 AFG, Afghanistan,1904, Feb,4.27782,
 AFG, Afghanistan,1904, Mar,7.50411,
 AFG, Afghanistan,1904, Apr,11.7398,
 AFG, Afghanistan,1904, May,17.9897,
 AFG, Afghanistan,1904, Jun,22.8683,
 AFG, Afghanistan,1904, Jul,25.0061,
 AFG, Afghanistan,1904, Aug,23.9715,
 AFG, Afghanistan,1904, Sep,18.7715,
 AFG, Afghanistan,1904, Oct,11.0836,
 AFG, Afghanistan,1904, Nov,8.79818,
 AFG, Afghanistan,1904, Dec,3.92464,
 AFG, Afghanistan,1905, Jan,-1.8435,
 AFG, Afghanistan,1905, Feb,-1.7698,
 AFG, Afghanistan,1905, Mar,3.42272,
