 ISO3, Country, Year, Statistics,Temperature - (Celsius),
 AFG, Afghanistan,1961, Jan,1.39097,
 AFG, Afghanistan,1961, Feb,0.90369,
 AFG, Afghanistan,1961, Mar,8.00043,
 AFG, Afghanistan,1961, Apr,12.3588,
 AFG, Afghanistan,1961, May,19.2618,
 AFG, Afghanistan,1961, Jun,22.7845,
 AFG, Afghanistan,1961, Jul,25.5794,
 AFG, Afghanistan,1961, Aug,23.7778,
 AFG, Afghanistan,1961, Sep,20.5201,
 AFG, Afghanistan,1961, Oct,11.7826,
 AFG, Afghanistan,1961, Nov,6.17419,
 AFG, Afghanistan,1961, Dec,3.08765,
 AFG, Afghanistan,1962, Jan,0.2178,
 AFG, Afghanistan,1962, Feb,4.86073,
 AFG, Afghanistan,1962, Mar,9.21193,
 AFG, Afghanistan,1962, Apr,13.1595,
 AFG, Afghanistan,1962, May,17.8021,
 AFG, Afghanistan,1962, Jun,22.026,
 AFG, Afghanistan,1962, Jul,25.1854,
 AFG, Afghanistan,1962, Aug,23.305,
 AFG, Afghanistan,1962, Sep,17.3479,
 AFG, Afghanistan,1962, Oct,12.0959,
 AFG, Afghanistan,1962, Nov,4.31819,
 AFG, Afghanistan,1962, Dec,1.7511,
 AFG, Afghanistan,1963, Jan,2.56103,
 AFG, Afghanistan,1963, Feb,6.13385,
 AFG, Afghanistan,1963, Mar,7.92977,
 AFG, Afghanistan,1963, Apr,13.9198,
 AFG, Afghanistan,1963, May,17.1359,
 AFG, Afghanistan,1963, Jun,23.9893,
 AFG, Afghanistan,1963, Jul,25.2344,
 AFG, Afghanistan,1963, Aug,23.5669,
 AFG, Afghanistan,1963, Sep,19.0576,
 AFG, Afghanistan,1963, Oct,14.6614,
 AFG, Afghanistan,1963, Nov,7.13441,
 AFG, Afghanistan,1963, Dec,1.89387,
 AFG, Afghanistan,1964, Jan,-4.1752,
 AFG, Afghanistan,1964, Feb,2.35688,
 AFG, Afghanistan,1964, Mar,9.31992,
 AFG, Afghanistan,1964, Apr,12.6143,
 AFG, Afghanistan,1964, May,17.8062,
 AFG, Afghanistan,1964, Jun,22.3411,
 AFG, Afghanistan,1964, Jul,24.9046,
 AFG, Afghanistan,1964, Aug,24.2136,
 AFG, Afghanistan,1964, Sep,18.7699,
 AFG, Afghanistan,1964, Oct,10.272,
