 ISO3, Country, Year, Statistics,Temperature - (Celsius),
 AFG, Afghanistan,1940, Apr,13.2806,
 AFG, Afghanistan,1940, May,18.2911,
 AFG, Afghanistan,1940, Jun,23.9365,
 AFG, Afghanistan,1940, Jul,25.8139,
 AFG, Afghanistan,1940, Aug,23.2111,
 AFG, Afghanistan,1940, Sep,19.1622,
 AFG, Afghanistan,1940, Oct,14.7078,
 AFG, Afghanistan,1940, Nov,8.02228,
 AFG, Afghanistan,1940, Dec,3.69792,
 AFG, Afghanistan,1941, Jan,0.27641,
 AFG, Afghanistan,1941, Feb,5.4479,
 AFG, Afghanistan,1941, Mar,9.99832,
 AFG, Afghanistan,1941, Apr,14.4327,
 AFG, Afghanistan,1941, May,19.9822,
 AFG, Afghanistan,1941, Jun,24.3181,
 AFG, Afghanistan,1941, Jul,24.8854,
 AFG, Afghanistan,1941, Aug,24.6843,
 AFG, Afghanistan,1941, Sep,19.0573,
 AFG, Afghanistan,1941, Oct,15.8634,
 AFG, Afghanistan,1941, Nov,7.49161,
 AFG, Afghanistan,1941, Dec,3.13308,
 AFG, Afghanistan,1942, Jan,0.7282,
 AFG, Afghanistan,1942, Feb,1.21574,
 AFG, Afghanistan,1942, Mar,8.65851,
 AFG, Afghanistan,1942, Apr,13.5724,
 AFG, Afghanistan,1942, May,18.9535,
 AFG, Afghanistan,1942, Jun,22.8885,
 AFG, Afghanistan,1942, Jul,25.3868,
 AFG, Afghanistan,1942, Aug,23.1434,
 AFG, Afghanistan,1942, Sep,18.4882,
 AFG, Afghanistan,1942, Oct,14.0305,
 AFG, Afghanistan,1942, Nov,9.27713,
 AFG, Afghanistan,1942, Dec,1.34136,
 AFG, Afghanistan,1943, Jan,-0.903,
 AFG, Afghanistan,1943, Feb,1.9381,
 AFG, Afghanistan,1943, Mar,5.80092,
 AFG, Afghanistan,1943, Apr,11.8163,
 AFG, Afghanistan,1943, May,17.2108,
 AFG, Afghanistan,1943, Jun,22.1766,
 AFG, Afghanistan,1943, Jul,25.272,
 AFG, Afghanistan,1943, Aug,24.0627,
 AFG, Afghanistan,1943, Sep,18.8433,
 AFG, Afghanistan,1943, Oct,12.3343,
 AFG, Afghanistan,1943, Nov,6.61902,
 AFG, Afghanistan,1943, Dec,4.4004,
 AFG, Afghanistan,1944, Jan,1.50451,
 AFG, Afghanistan,1944, Feb,3.32644,
 AFG, Afghanistan,1944, Mar,10.1751,
 AFG, Afghanistan,1944, Apr,13.2066,
 AFG, Afghanistan,1944, May,19.3196,
 AFG, Afghanistan,1944, Jun,23.2703,
 AFG, Afghanistan,1944, Jul,26.6997,
 AFG, Afghanistan,1944, Aug,23.9783,
 AFG, Afghanistan,1944, Sep,18.1922,
 AFG, Afghanistan,1944, Oct,12.8157,
 AFG, Afghanistan,1944, Nov,7.2332,
 AFG, Afghanistan,1944, Dec,-2.0469,
 AFG, Afghanistan,1945, Jan,-1.4945,
 AFG, Afghanistan,1945, Feb,0.511,
 AFG, Afghanistan,1945, Mar,6.59818,
 AFG, Afghanistan,1945, Apr,12.1952,
 AFG, Afghanistan,1945, May,16.9989,
 AFG, Afghanistan,1945, Jun,22.9502,
 AFG, Afghanistan,1945, Jul,24.816,
 AFG, Afghanistan,1945, Aug,24.6122,
 AFG, Afghanistan,1945, Sep,19.6957,
 AFG, Afghanistan,1945, Oct,13.5077,
 AFG, Afghanistan,1945, Nov,6.88738,
 AFG, Afghanistan,1945, Dec,1.91471,
 AFG, Afghanistan,1946, Jan,-0.0345,
 AFG, Afghanistan,1946, Feb,4.91921,
 AFG, Afghanistan,1946, Mar,8.07632,
 AFG, Afghanistan,1946, Apr,15.7644,
 AFG, Afghanistan,1946, May,20.8864,
 AFG, Afghanistan,1946, Jun,23.1791,
 AFG, Afghanistan,1946, Jul,25.0201,
